,race,recidivate-within-two-years,sex:Male,sex:Female,age:18-20,age:21-22,age:23-25,age:26-45,age:>45,juvenile-felonies:=0,juvenile-felonies:>0,juvenile-misdemeanors:=0,juvenile-misdemeanors:>0,juvenile-crimes:=0,juvenile-crimes:>0,priors:=0,priors:=1,priors:2-3,priors:>3,current-charge-degree:Felony,current-charge-degree:Misdemeanor
0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
2,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
3,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0
4,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
5,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
6,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1
7,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1
8,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
9,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1
10,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
11,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
12,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
13,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
14,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
15,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
16,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
17,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0
18,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
19,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
20,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
21,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
22,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0
23,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
24,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
25,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
26,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
27,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
28,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
29,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
30,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0
